rgi_id,C,80;o1region,C,80;o2region,C,80;glims_id,C,80;anlys_id,N,18,0;subm_id,N,18,0;src_date,C,80;cenlon,N,24,15;cenlat,N,24,15;utm_zone,N,18,0;area_km2,N,24,15;primeclass,N,18,0;conn_lvl,N,18,0;surge_type,N,18,0;term_type,N,18,0;glac_name,C,80;is_rgi6,N,18,0;termlon,N,24,15;termlat,N,24,15;zmin_m,N,24,15;zmax_m,N,24,15;zmed_m,N,24,15;zmean_m,N,24,15;slope_deg,N,24,15;aspect_deg,N,24,15;aspect_sec,N,18,0;dem_source,C,80;lmax_m,N,18,0
RGI2000-v7.0-G-11-00266;11;11-01;G006382E44883N;752696;731;2003-09-21T00:00:00;6,382111;44,883508;32;0,1458;0;0;0;0;;0;6,380464814420070;44,881544066316600;2987,6;3167,9;3042,4;3042,1;16,48;240,9;6;COPDEM30;476
RGI2000-v7.0-G-11-00267;11;11-01;G006391E44890N;752702;731;2003-09-21T00:00:00;6,389813;44,891280;32;0,4997;0;0;0;0;FR4N01083B09 de Sialouze;0;6,392372886210340;44,886548040525900;3115,8;3623,4;3356,9;3383,5;26,52;167,2;5;COPDEM30;778
RGI2000-v7.0-G-11-00268;11;11-01;G006360E44890N;752674;731;2003-08-13T00:00:00;6,360304;44,889812;32;0,0693;0;0;0;0;FR4N01083B14 Suspendu de l'Ailefroide;0;6,359850932886030;44,891218965809100;3420,9;3790,7;3622,7;3616,7;53,76;13,1;1;COPDEM30;295
RGI2000-v7.0-G-11-00269;11;11-01;G006346E44918N;752655;731;2003-08-13T00:00:00;6,351322;44,912202;32;0,2696;0;0;0;0;;0;6,346511170177600;44,909054565931700;2966,2;3419,5;3187,5;3185,5;32,40;272,4;7;COPDEM30;914
RGI2000-v7.0-G-11-00270;11;11-01;G006347E44919N;752648;731;2003-08-13T00:00:00;6,347809;44,918597;32;0,9362;0;0;0;0;FR4N01166D03 du Vallon de la Pilatte;0;6,341471076075720;44,914987641141600;2921,9;3738,7;3364,8;3366,4;31,13;218,5;6;COPDEM30;1369
RGI2000-v7.0-G-11-00271;11;11-01;G006337E44919N;752624;731;2003-08-13T00:00:00;6,336570;44,917941;32;0,0279;0;0;0;0;;0;6,336793188302580;44,916437195612900;3024,2;3198,0;3118,7;3114,6;34,79;175,9;5;COPDEM30;328
RGI2000-v7.0-G-11-00272;11;11-01;G006329E44919N;752610;731;2003-08-13T00:00:00;6,330261;44,920119;32;0,1786;0;0;0;0;FR4N01166D01 de la Vera Pervoz;0;6,322463914103780;44,917709427761000;2616,5;3090,9;2828,0;2819,7;32,93;292,0;7;COPDEM30;1007
RGI2000-v7.0-G-11-00273;11;11-01;G006337E44931N;752627;731;2003-08-13T00:00:00;6,337663;44,931800;32;1,9223;0;0;0;0;FR4N01166C26 de Bonnepierre 1;0;6,317658588762170;44,936830178064500;2390,3;3273,0;2787,7;2782,1;21,34;311,5;8;COPDEM30;3601
RGI2000-v7.0-G-11-00274;11;11-01;G006350E44941N;752654;731;2003-08-13T00:00:00;6,350028;44,940458;32;0,0136;0;0;0;0;FR4N01166C25 de la Breche d'Alvau 2;0;6,349386183530100;44,939997902831500;3083,4;3150,1;3113,3;3114,4;27,55;248,3;7;COPDEM30;128
RGI2000-v7.0-G-11-00275;11;11-01;G006347E44941N;752653;731;2003-08-13T00:00:00;6,348629;44,941578;32;0,0146;0;0;0;0;FR4N01166C25 de la Breche d'Alvau 2;0;6,348133714612580;44,940884305687600;3085,3;3186,4;3135,0;3137,4;31,48;187,2;5;COPDEM30;156
